id,nome,host_id,host_name,bairro_group,bairro,latitude,longitude,room_type,price,minimo_noites,numero_de_reviews,ultima_review,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
9145202,Room near JFK Queen Bed,47621202,Dona,Queens,Jamaica,40.6673,-73.76831,Private room,47,1,629,2019-07-05,14.58,2,333
903972,Great Bedroom in Manhattan,4734398,Jj,Manhattan,Harlem,40.82085,-73.94025,Private room,49,1,607,2019-06-21,7.75,3,293
903947,Beautiful Bedroom in Manhattan,4734398,Jj,Manhattan,Harlem,40.82124,-73.93838,Private room,49,1,597,2019-06-23,7.72,3,342
891117,Private Bedroom in Manhattan,4734398,Jj,Manhattan,Harlem,40.82264,-73.94041,Private room,49,1,594,2019-06-15,7.57,3,339
10101135,Room Near JFK Twin Beds,47621202,Dona,Queens,Jamaica,40.66939,-73.76975,Private room,47,1,576,2019-06-27,13.4,2,173
8168619,Steps away from Laguardia airport,37312959,Maya,Queens,East Elmhurst,40.77006,-73.87683,Private room,46,1,543,2019-07-01,11.59,5,163
834190,Manhattan Lux Loft.Like.Love.Lots.Look !,2369681,Carol,Manhattan,Lower East Side,40.71921,-73.99116,Private room,99,2,540,2019-07-06,6.95,1,179
16276632,Cozy Room Family Home LGA Airport NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,40.76335,-73.87007,Private room,48,1,510,2019-07-06,16.22,5,341
3474320,Private brownstone studio Brooklyn,12949460,Asa,Brooklyn,Park Slope,40.67926,-73.97711,Entire home/apt,160,1,488,2019-07-01,8.14,1,269
166172,LG Private Room/Family Friendly,792159,Wanda,Brooklyn,Bushwick,40.70283,-73.92131,Private room,60,3,480,2019-07-07,6.7,1,0
546383,My Little Guest Room in Flushing,2680820,Linda,Queens,Flushing,40.75578,-73.81948,Private room,55,1,474,2019-05-25,5.53,3,332
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,2018-12-30,4.22,2,192
6157276,Bright LARGE BED near Manhattan,23591164,Angela,Queens,East Elmhurst,40.76664,-73.87577,Private room,65,1,466,2019-06-22,9.16,4,331
10186192,Only Steps away from LaGuardia arpt,37312959,Maya,Queens,East Elmhurst,40.77026,-73.87561,Private room,45,1,459,2019-07-07,10.72,5,175
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,2019-07-03,4.58,2,258
467634,yahmanscrashpads,2321321,Lloyd,Queens,Jamaica,40.67747,-73.76493,Shared room,39,1,454,2019-06-18,5.27,1,353
506121,Cozy Room in Lively East Village,2267153,John,Manhattan,East Village,40.7276,-73.98347,Private room,72,5,451,2019-06-30,5.26,2,13
7125107,Room steps away from LaGuardia airport,37312959,Maya,Queens,East Elmhurst,40.77005,-73.87691,Private room,45,1,448,2019-07-07,9.63,5,166
999248,TriBeCa 2500 Sq Ft w/ Priv Elevator,273174,Jon,Manhattan,Tribeca,40.71927,-74.00453,Entire home/apt,575,1,447,2019-07-01,5.89,3,207
63360,Safe cute near subway& Manhattan NY NY retro style,307962,Dennis & Naoko,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,2019-06-24,4.5,1,226
476983,"PRIVATE Room in Spacious, Quiet Apt",277379,Agnes,Manhattan,Harlem,40.82537,-73.94392,Private room,85,1,439,2019-07-05,5.12,2,238
18173787,Cute Tiny Room Family Home by LGA NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,40.7638,-73.87238,Private room,48,1,436,2019-07-08,16.03,5,337
15262831,THE PRIVACY DEN ~ 5 MINUTES TO JFK,97086824,Miss Dy,Queens,Springfield Gardens,40.66735,-73.76647,Entire home/apt,49,1,434,2019-06-19,12.84,1,102
5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,2019-06-24,3.47,1,220
5115372,Comfy Room Family Home LGA Airport NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,40.76374,-73.87103,Private room,54,1,430,2019-07-03,13.45,5,347
4550557,Bright LARGE 2 BEDS! near Manhattan,23591164,Angela,Queens,East Elmhurst,40.7668,-73.87759,Private room,65,1,426,2019-06-17,7.53,4,312
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,2019-06-24,3.89,3,275
7670562,JFK 10 & LGA 15 MINUTES A/C  PRIVATE BEDROOM,22959695,Gurpreet  Singh,Queens,Richmond Hill,40.69604,-73.82449,Private room,50,1,424,2018-11-25,8.86,5,0
17222454,Sun Room Family Home LGA Airport NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,40.76367,-73.87088,Private room,48,1,417,2019-07-07,14.36,5,338
945297,East Village Gay Friendly Dbl Room,5074654,Seth,Manhattan,East Village,40.72836,-73.98163,Private room,100,1,414,2019-06-22,5.39,2,231
151199,Astoria-Private Home NYC-,722320,Gladys & Bob,Queens,Astoria,40.75725,-73.91098,Entire home/apt,129,1,414,2019-07-03,4.34,1,245
11618854,Walking distance  to LaGuardia airport,37312959,Maya,Queens,East Elmhurst,40.77107,-73.87559,Private room,45,1,412,2019-07-01,10.19,5,159
14133414,Space to rest near LaGuardia Airport,37312959,Maya,Queens,East Elmhurst,40.77009,-73.87708,Private room,32,1,411,2019-07-04,11.4,5,161
7675781,JFK 10 & LGA 15 MINUTES  AWAY  A/C PRIVATE BEDROOM,22959695,Gurpreet  Singh,Queens,Richmond Hill,40.69463,-73.8261,Private room,50,1,408,2018-11-24,8.56,5,0
699472,NYC 1st Shipping Container Home,3587751,Janet-David,Brooklyn,Williamsburg,40.70995,-73.95536,Entire home/apt,220,1,404,2019-06-25,4.9,2,341
21550302,JFK Comfort.5 Mins from JFK Private Bedroom & Bath,156684502,Nalicia,Queens,Springfield Gardens,40.6611,-73.7683,Private room,80,1,403,2019-07-06,19.75,3,26
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,627217,Seith,Manhattan,East Village,40.72939,-73.98857,Entire home/apt,189,2,403,2019-07-07,4.1,3,201
195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!,949221,Dennis,Brooklyn,Prospect-Lefferts Gardens,40.65513,-73.95641,Private room,43,1,401,2019-07-04,6.62,2,43
3888752,"Bright, quiet, cozy 1BR by C Park!",20116872,Michael,Manhattan,Upper West Side,40.77571,-73.97757,Entire home/apt,195,1,401,2019-06-30,6.76,1,178
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,118971,Evelyn,Brooklyn,South Slope,40.66552,-73.99019,Entire home/apt,169,2,398,2019-06-28,3.97,3,182
6422875,Brooklyn Creative Snooze Factory,33510832,Benjamin,Brooklyn,Bedford-Stuyvesant,40.69271,-73.94353,Private room,70,1,397,2019-06-28,7.97,2,35
6037761,Spacious Room in East Village/NoHo,7256281,Sne,Manhattan,East Village,40.72816,-73.98843,Private room,163,2,396,2019-06-23,7.71,1,143
975965,Great Room in Lively East Village,2267153,John,Manhattan,East Village,40.72792,-73.98507,Private room,91,5,395,2019-06-21,5.16,2,1
4152752,Location is Everything. And Quiet Too!,21546973,Niko,Manhattan,Hell's Kitchen,40.76444,-73.98965,Private room,103,1,394,2019-06-30,6.79,1,237
16814205,Cozy Room Close to JFK!!,111841534,Malini,Queens,Jamaica,40.67949,-73.79841,Private room,53,1,392,2019-07-06,13.15,1,71
3771656,Amazing Upper East Side Location,19331457,Yevgeny,Manhattan,Upper East Side,40.77632,-73.95458,Private room,95,1,389,2019-07-01,6.51,2,254
84659,Large Studio--Heart of East Village,462776,Kyle,Manhattan,East Village,40.72843,-73.98895,Entire home/apt,139,1,388,2019-06-26,3.88,1,142
1767037,Small Cozy Room Wifi & AC near JFK,9284163,Antonio,Queens,Woodhaven,40.68968,-73.85219,Private room,29,2,386,2019-06-19,5.53,3,50
158955,PRIVATE and SUNNY Williamsburg Apt!,465589,Amia,Brooklyn,Williamsburg,40.70867,-73.94284,Entire home/apt,139,2,385,2019-06-29,4.0,1,222
106363,Bright Room With A Great River View,551055,Alicia,Manhattan,Harlem,40.82773,-73.95231,Private room,60,3,380,2019-06-26,3.83,2,247
